location_id,state,district,city,locality
1,Andaman and Nicobar Islands,Nicobars,Campbell Bay,Campbell Bay
2,Andaman and Nicobar Islands,Nicobars,Car Nicobar,Car Nicobar
3,Andaman and Nicobar Islands,North and Middle Andaman,Rangat,Rangat
4,Andaman and Nicobar Islands,North and Middle Andaman,Mayabunder,Mayabunder
5,Andaman and Nicobar Islands,North and Middle Andaman,Diglipur,Diglipur
6,Andaman and Nicobar Islands,South Andaman,Prothrapur,Prothrapur
7,Andaman and Nicobar Islands,South Andaman,Bambooflat,Bambooflat
8,Andaman and Nicobar Islands,South Andaman,Port Blair,Port Blair
9,Andhra Pradesh,Alluri Sitharama Raju,Paderu,Paderu
10,Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,Rampachodavaram
11,Andhra Pradesh,Anakapalli,Narsipatnam,Narsipatnam
12,Andhra Pradesh,Anakapalli,Yelamanchili,Yelamanchili
13,Andhra Pradesh,Anakapalli,Anakapalli,Anakapalli
14,Andhra Pradesh,Ananthapuramu,Anantapur,Anantapur
15,Andhra Pradesh,Ananthapuramu,Dharmavaram,Dharmavaram
16,Andhra Pradesh,Ananthapuramu,Hindupur,Hindupur
17,Andhra Pradesh,Ananthapuramu,Guntakal,Guntakal
18,Andhra Pradesh,Annamayya,Rajampet,Rajampet
19,Andhra Pradesh,Annamayya,Rayachoti,Rayachoti
20,Andhra Pradesh,Annamayya,Pulivendla,Pulivendla
21,Andhra Pradesh,Bapatla,Bapatla,Bapatla
22,Andhra Pradesh,Bapatla,Chirala,Chirala
23,Andhra Pradesh,Bapatla,Repalle,Repalle
24,Andhra Pradesh,Chittoor,Srikalahasti,Srikalahasti
25,Andhra Pradesh,Chittoor,Chittoor,Chittoor
26,Andhra Pradesh,Chittoor,Madanapalle,Madanapalle
27,Andhra Pradesh,Chittoor,Tirupati,Tirupati
28,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Amalapuram,Amalapuram
29,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Razole,Razole
30,Andhra Pradesh,East Godavari,Amalapuram,Amalapuram
31,Andhra Pradesh,East Godavari,Ramachandrapuram,Ramachandrapuram
32,Andhra Pradesh,East Godavari,Rajahmundry,Rajahmundry
33,Andhra Pradesh,East Godavari,Peddapuram,Peddapuram
34,Andhra Pradesh,Eluru,Eluru,Eluru
35,Andhra Pradesh,Eluru,Kovvur,Kovvur
36,Andhra Pradesh,Eluru,Jangareddygudem,Jangareddygudem
37,Andhra Pradesh,Guntur,Tenali,Tenali
38,Andhra Pradesh,Guntur,Guntur,Guntur
39,Andhra Pradesh,Guntur,Sattenapalle,Sattenapalle
40,Andhra Pradesh,Guntur,Mangalagiri,Mangalagiri
41,Andhra Pradesh,Kakinada,Kakinada,Kakinada
42,Andhra Pradesh,Kakinada,Pithapuram,Pithapuram
43,Andhra Pradesh,Kakinada,Samalkot,Samalkot
44,Andhra Pradesh,Krishna,Gudivada,Gudivada
45,Andhra Pradesh,Krishna,Vijayawada,Vijayawada
46,Andhra Pradesh,Krishna,Nuzvid,Nuzvid
47,Andhra Pradesh,Krishna,Machilipatnam,Machilipatnam
48,Andhra Pradesh,Kurnool,Kurnool,Kurnool
49,Andhra Pradesh,Kurnool,Nandyal,Nandyal
50,Andhra Pradesh,Kurnool,Adoni,Adoni
51,Andhra Pradesh,Kurnool,Yemmiganur,Yemmiganur
52,Andhra Pradesh,Manyam,Parvathipuram,Parvathipuram
53,Andhra Pradesh,Nandyal,Allagadda,Allagadda
54,Andhra Pradesh,Nandyal,Nandyal,Nandyal
55,Andhra Pradesh,Nandyal,Atmakur,Atmakur
56,Andhra Pradesh,NTR,Nandigama,Nandigama
57,Andhra Pradesh,NTR,Vijayawada,Vijayawada
58,Andhra Pradesh,Palnadu,Narasaraopet,Narasaraopet
59,Andhra Pradesh,Palnadu,Gurazala,Gurazala
60,Andhra Pradesh,Prakasam,Markapur,Markapur
61,Andhra Pradesh,Prakasam,Giddalur,Giddalur
62,Andhra Pradesh,Prakasam,Ongole,Ongole
63,Andhra Pradesh,Prakasam,Chirala,Chirala
64,Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Nellore
65,Andhra Pradesh,Sri Potti Sriramulu Nellore,Sullurpeta,Sullurpeta
66,Andhra Pradesh,Sri Potti Sriramulu Nellore,Kavali,Kavali
67,Andhra Pradesh,Sri Potti Sriramulu Nellore,Gudur,Gudur
68,Andhra Pradesh,Sri Sathya Sai,Puttaparthi,Puttaparthi
69,Andhra Pradesh,Sri Sathya Sai,Hindupur,Hindupur
70,Andhra Pradesh,Srikakulam,Palasa,Palasa
71,Andhra Pradesh,Srikakulam,Narasannapeta,Narasannapeta
72,Andhra Pradesh,Srikakulam,Srikakulam,Srikakulam
73,Andhra Pradesh,Tirupati,Chandragiri,Chandragiri
74,Andhra Pradesh,Tirupati,Srikalahasti,Srikalahasti
75,Andhra Pradesh,Tirupati,Tirupati,Tirupati
76,Andhra Pradesh,Visakhapatnam,Gajuwaka,Gajuwaka
77,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Bheemunipatnam
78,Andhra Pradesh,Visakhapatnam,Anakapalle,Anakapalle
79,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Visakhapatnam
80,Andhra Pradesh,Vizianagaram,Parvathipuram,Parvathipuram
81,Andhra Pradesh,Vizianagaram,Vizianagaram,Vizianagaram
82,Andhra Pradesh,Vizianagaram,Bobbili,Bobbili
83,Andhra Pradesh,West Godavari,Eluru,Eluru
84,Andhra Pradesh,West Godavari,Palakol,Palakol
85,Andhra Pradesh,West Godavari,Bhimavaram,Bhimavaram
86,Andhra Pradesh,West Godavari,Tadepalligudem,Tadepalligudem
87,Andhra Pradesh,Y.S.R. Kadapa,Rajampet,Rajampet
88,Andhra Pradesh,Y.S.R. Kadapa,Proddatur,Proddatur
89,Andhra Pradesh,Y.S.R. Kadapa,Pulivendla,Pulivendla
90,Andhra Pradesh,Y.S.R. Kadapa,Kadapa,Kadapa
91,Arunachal Pradesh,Anjaw,Anjaw,Anjaw
92,Arunachal Pradesh,Bichom,Bichom,Bichom
93,Arunachal Pradesh,Changlang,Changlang,Changlang
94,Arunachal Pradesh,Dibang Valley,Dibang Valley,Dibang Valley
95,Arunachal Pradesh,East Kameng,East Kameng,East Kameng
96,Arunachal Pradesh,East Siang,East Siang,East Siang
97,Arunachal Pradesh,Kamle,Kamle,Kamle
98,Arunachal Pradesh,Keyi Panyor,Keyi Panyor,Keyi Panyor
99,Arunachal Pradesh,Kra Daadi,Kra Daadi,Kra Daadi
100,Arunachal Pradesh,Kurung Kumey,Kurung Kumey,Kurung Kumey
101,Arunachal Pradesh,Lepa Rada,Lepa Rada,Lepa Rada
102,Arunachal Pradesh,Lohit,Lohit,Lohit
103,Arunachal Pradesh,Longding,Longding,Longding
104,Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley,Lower Dibang Valley
105,Arunachal Pradesh,Lower Siang,Lower Siang,Lower Siang
106,Arunachal Pradesh,Lower Subansiri,Lower Subansiri,Lower Subansiri
107,Arunachal Pradesh,Namsai,Namsai,Namsai
108,Arunachal Pradesh,Pakke Kessang,Pakke Kessang,Pakke Kessang
109,Arunachal Pradesh,Papum Pare,Papum Pare,Papum Pare
110,Arunachal Pradesh,Shi Yomi,Shi Yomi,Shi Yomi
111,Arunachal Pradesh,Siang,Siang,Siang
112,Arunachal Pradesh,Tawang,Tawang,Tawang
113,Arunachal Pradesh,Tirap,Tirap,Tirap
114,Arunachal Pradesh,Upper Siang,Upper Siang,Upper Siang
115,Arunachal Pradesh,Upper Subansiri,Upper Subansiri,Upper Subansiri
116,Arunachal Pradesh,West Kameng,West Kameng,West Kameng
117,Arunachal Pradesh,West Siang,West Siang,West Siang
118,Assam,Bajali,Pathsala,Pathsala
119,Assam,Baksa,Mushalpur,Mushalpur
120,Assam,Barpeta,Barpeta Road,Barpeta Road
121,Assam,Barpeta,Barpeta,Barpeta
122,Assam,Barpeta,Howly,Howly
123,Assam,Biswanath,Biswanath Chariali,Biswanath Chariali
124,Assam,Bongaigaon,Bijni,Bijni
125,Assam,Bongaigaon,Bongaigaon,Bongaigaon
126,Assam,Cachar,Lakhipur,Lakhipur
127,Assam,Cachar,Sonai,Sonai
128,Assam,Cachar,Silchar,Silchar
129,Assam,Charaideo,Sonari,Sonari
130,Assam,Chirang,Kajalgaon,Kajalgaon
131,Assam,Darrang,Mangaldai,Mangaldai
132,Assam,Darrang,Kharupetia,Kharupetia
133,Assam,Dhemaji,Jonai,Jonai
134,Assam,Dhemaji,Dhemaji,Dhemaji
135,Assam,Dhubri,Dhubri,Dhubri
136,Assam,Dhubri,Bilasipara,Bilasipara
137,Assam,Dibrugarh,Duliajan,Duliajan
138,Assam,Dibrugarh,Dibrugarh,Dibrugarh
139,Assam,Dibrugarh,Moran,Moran
140,Assam,Dibrugarh,Naharkatia,Naharkatia
141,Assam,Dima Hasao,Haflong,Haflong
142,Assam,Goalpara,Goalpara,Goalpara
143,Assam,Goalpara,Dudhnoi,Dudhnoi
144,Assam,Golaghat,Golaghat,Golaghat
145,Assam,Golaghat,Sarupathar,Sarupathar
146,Assam,Hailakandi,Hailakandi,Hailakandi
147,Assam,Hailakandi,Lala,Lala
148,Assam,Hojai,Hojai,Hojai
149,Assam,Hojai,Lumding,Lumding
150,Assam,Jorhat,Mariani,Mariani
151,Assam,Jorhat,Titabor,Titabor
152,Assam,Jorhat,Jorhat,Jorhat
153,Assam,Kamrup,Nalbari,Nalbari
154,Assam,Kamrup,Boko,Boko
155,Assam,Kamrup,Rangia,Rangia
156,Assam,Kamrup Metropolitan,Guwahati,Guwahati
157,Assam,Kamrup Metropolitan,Maligaon,Maligaon
158,Assam,Kamrup Metropolitan,Jalukbari,Jalukbari
159,Assam,Kamrup Metropolitan,Dispur,Dispur
160,Assam,Karbi Anglong,Diphu,Diphu
161,Assam,Karbi Anglong,Bokajan,Bokajan
162,Assam,Karimganj,Badarpur,Badarpur
163,Assam,Karimganj,Karimganj,Karimganj
164,Assam,Kokrajhar,Gossaigaon,Gossaigaon
165,Assam,Kokrajhar,Kokrajhar,Kokrajhar
166,Assam,Lakhimpur,North Lakhimpur,North Lakhimpur
167,Assam,Lakhimpur,Dhakuakhana,Dhakuakhana
168,Assam,Majuli,Garamur,Garamur
169,Assam,Morigaon,Morigaon,Morigaon
170,Assam,Nalbari,Nalbari,Nalbari
171,Assam,Sivasagar,Sonari,Sonari
172,Assam,Sivasagar,Sivasagar,Sivasagar
173,Assam,Sivasagar,Nazira,Nazira
174,Assam,Sonitpur,Tezpur,Tezpur
175,Assam,Sonitpur,Dhekiajuli,Dhekiajuli
176,Assam,Sonitpur,Biswanath Chariali,Biswanath Chariali
177,Assam,South Salmara-Mankachar,Mankachar,Mankachar
178,Assam,Tamulpur,Tamulpur,Tamulpur
179,Assam,Tinsukia,Digboi,Digboi
180,Assam,Tinsukia,Tinsukia,Tinsukia
181,Assam,Tinsukia,Margherita,Margherita
182,Assam,Udalguri,Udalguri,Udalguri
183,Assam,West Karbi Anglong,Hamren,Hamren
184,Bihar,Araria,Forbesganj,Forbesganj
185,Bihar,Araria,Araria,Araria
186,Bihar,Arwal,Arwal,Arwal
187,Bihar,Aurangabad,Aurangabad,Aurangabad
188,Bihar,Aurangabad,Paithan,Paithan
189,Bihar,Aurangabad,Jalna,Jalna
190,Bihar,Banka,Banka,Banka
191,Bihar,Begusarai,Begusarai,Begusarai
192,Bihar,Begusarai,Barauni,Barauni
193,Bihar,Bhagalpur,Kahalgaon,Kahalgaon
194,Bihar,Bhagalpur,Bhagalpur,Bhagalpur
195,Bihar,Bhojpur,Arrah,Arrah
196,Bihar,Buxar,Buxar,Buxar
197,Bihar,Darbhanga,Samastipur,Samastipur
198,Bihar,Darbhanga,Darbhanga,Darbhanga
199,Bihar,East Champaran,East Champaran,East Champaran
200,Bihar,Gaya,Bodh Gaya,Bodh Gaya
201,Bihar,Gaya,Sherghati,Sherghati
202,Bihar,Gaya,Gaya,Gaya
203,Bihar,Gopalganj,Gopalganj,Gopalganj
204,Bihar,Jamui,Jamui,Jamui
205,Bihar,Jehanabad,Jehanabad,Jehanabad
206,Bihar,Kaimur,Bhabua,Bhabua
207,Bihar,Katihar,Katihar,Katihar
208,Bihar,Khagaria,Khagaria,Khagaria
209,Bihar,Kishanganj,Kishanganj,Kishanganj
210,Bihar,Lakhisarai,Lakhisarai,Lakhisarai
211,Bihar,Madhepura,Madhepura,Madhepura
212,Bihar,Madhubani,Madhubani,Madhubani
213,Bihar,Madhubani,Jaynagar,Jaynagar
214,Bihar,Munger,Jamalpur,Jamalpur
215,Bihar,Munger,Munger,Munger
216,Bihar,Muzaffarpur,Motihari,Motihari
217,Bihar,Muzaffarpur,Muzaffarpur,Muzaffarpur
218,Bihar,Nalanda,Hilsa,Hilsa
219,Bihar,Nalanda,Bihar Sharif,Bihar Sharif
220,Bihar,Nalanda,Rajgir,Rajgir
221,Bihar,Nawada,Nawada,Nawada
222,Bihar,Patna,Patna,Patna
223,Bihar,Patna,Khagaul,Khagaul
224,Bihar,Patna,Danapur,Danapur
225,Bihar,Patna,Phulwarisharif,Phulwarisharif
226,Bihar,Patna,Hajipur,Hajipur
227,Bihar,Purnia,Katihar,Katihar
228,Bihar,Purnia,Purnia,Purnia
229,Bihar,Rohtas,Dehri,Dehri
230,Bihar,Rohtas,Sasaram,Sasaram
231,Bihar,Rohtas,Bikramganj,Bikramganj
232,Bihar,Saharsa,Saharsa,Saharsa
233,Bihar,Samastipur,Samastipur,Samastipur
234,Bihar,Saran,Chapra,Chapra
235,Bihar,Saran,Siwan,Siwan
236,Bihar,Sheikhpura,Sheikhpura,Sheikhpura
237,Bihar,Sheohar,Sheohar,Sheohar
238,Bihar,Sitamarhi,Sitamarhi,Sitamarhi
239,Bihar,Siwan,Siwan,Siwan
240,Bihar,Supaul,Supaul,Supaul
241,Bihar,Vaishali,Hajipur,Hajipur
242,Bihar,Vaishali,Lalganj,Lalganj
243,Bihar,West Champaran,Bettiah,Bettiah
244,Bihar,West Champaran,Narkatiaganj,Narkatiaganj
245,Chandigarh,Chandigarh,Sector 22,Sector 22
246,Chandigarh,Chandigarh,Manimajra,Manimajra
247,Chandigarh,Chandigarh,Chandigarh,Chandigarh
248,Chandigarh,Chandigarh,Panchkula,Panchkula
249,Chandigarh,Chandigarh,Sector 17,Sector 17
250,Chhattisgarh,Balod,Balod,Balod
251,Chhattisgarh,Baloda Bazar,Baloda Bazar,Baloda Bazar
252,Chhattisgarh,Balrampur,Balrampur,Balrampur
253,Chhattisgarh,Bastar,Jagdalpur,Jagdalpur
254,Chhattisgarh,Bastar,Kondagaon,Kondagaon
255,Chhattisgarh,Bemetara,Bemetara,Bemetara
256,Chhattisgarh,Bijapur,Bijapur,Bijapur
257,Chhattisgarh,Bilaspur,Bilaspur,Bilaspur
